config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE,s4_MAPE,s4_NMSE,s5_MAPE,s5_NMSE
150,0.12608306788064272,0.071588991105641597,0.30558527400000002,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
151,0.12608306788064272,0.071588991105641597,0.29936821600000002,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
152,0.12608306788064272,0.071588991105641597,0.301848475,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
153,0.12608306788064272,0.071588991105641597,0.30141113800000002,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
154,0.12608306788064272,0.071588991105641597,0.30329558400000001,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
155,0.12608306788064272,0.071588991105641597,0.30275232200000002,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
156,0.12608306788064272,0.071588991105641597,0.301687441,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
157,0.12608306788064272,0.071588991105641597,0.302749078,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
158,0.12608306788064272,0.071588991105641597,0.30307478300000001,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
159,0.12608306788064272,0.071588991105641597,0.302698623,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
160,0,0,0.420567735,0,0,0,0,0.00071998620962972519,1.0668702470797522e-07,0,0,0,0,0,0
161,0.00034336118052734886,1.4211970444972308e-05,0.30263806900000001,0,0,0,0,0.00071998620962972519,1.0668702470797522e-07,0.0025776564298912751,7.178637923836913e-07,0,0,0,0
162,0.047636224342865165,0.0063884413431176852,0.30336865200000002,0,0,0,0,0.00071998620962972519,1.0668702470797522e-07,0.29432736935424308,0.029782257606169423,0,0,0,0
163,0.12608306788064272,0.071588991105641597,0.30314341900000003,0,0,0,0,0.00071998620962972519,1.0668702470797522e-07,0.85624313354492188,1,0,0,0,0
164,0.12608306788064272,0.071588991105641597,0.302553668,0,0,0,0,0.00071998620962972519,1.0668702470797522e-07,0.85624313354492188,1,0,0,0,0
165,0.12608306788064272,0.071588991105641597,0.30333728300000001,0,0,0,0,0.00071998620962972519,1.0668702470797522e-07,0.85624313354492188,1,0,0,0,0
166,0,0,0.30465220599999998,0,0,0,0,0.0019913003314104079,7.4466870783374176e-07,0,0,0,0,0,0
167,0.004960976184680636,0.00026168408903474424,0.30280728699999998,0,0,0,0,0.0019913003314104079,7.4466870783374176e-07,0.029349513899250026,0.00011093713019455803,0,0,0,0
168,0.12608306788064272,0.071588991105641597,0.303598918,0,0,0,0,0.0019913003314104079,7.4466870783374176e-07,0.85624313354492188,1,0,0,0,0
169,0.12608306788064272,0.071588991105641597,0.30320049199999999,0,0,0,0,0.0019913003314104079,7.4466870783374176e-07,0.85624313354492188,1,0,0,0,0
170,0.12608306788064272,0.071588991105641597,0.302457747,0,0,0,0,0.0019913003314104079,7.4466870783374176e-07,0.85624313354492188,1,0,0,0,0
171,0,0,0.30334741700000001,0,0,0,0,0.004391030021690891,3.7296579112788589e-06,0,0,0,0,0,0
172,0.12608306788064272,0.071588991105641597,0.30340900599999998,0,0,0,0,0.004391030021690891,3.7296579112788589e-06,0.85308566139946485,0.97279883917648646,0,0,0,0
173,0.12608306788064272,0.071588991105641597,0.363773491,0,0,0,0,0.004391030021690891,3.7296579112788589e-06,0.85624313354492188,1,0,0,0,0
174,0,0,0.30348662599999998,0,0,0,0,0.0089799454227389077,1.6589615174066303e-05,0,0,0,0,0,0
175,0.12608306788064272,0.071588991105641597,0.30428945699999999,0,0,0,0,0.0089799454227389077,1.6589615174066303e-05,0.85624313354492188,1,0,0,0,0
176,0.12608306788064272,0.071588991105641597,0.30275839900000001,0,0,0,0,0.0089799454227389077,1.6589615174066303e-05,0.85624313354492188,1,0,0,0,0
177,0.12608306788064272,0.071588991105641597,0.30246632099999998,0,0,0,0,0.0089799454227389077,1.6589615174066303e-05,0.85624313354492188,1,0,0,0,0
178,0.12608306788064272,0.071588991105641597,0.302951833,0,0,0,0,0.0089799454227389077,1.6589615174066303e-05,0.85624313354492188,1,0,0,0,0
179,0,0,0.302952744,0,0,0,0,0.017576043218851114,6.9394104898684919e-05,0,0,0,0,0,0
180,0.004960976184680636,0.00026168408903474424,0.304634774,0,0,0,0,0.017576043218851114,6.9394104898684919e-05,0.029349513899250026,0.00011093713019455803,0,0,0,0
181,0.12608306788064272,0.071588991105641597,0.30399804200000002,0,0,0,0,0.017576043218851114,6.9394104898684919e-05,0.85308566139946485,0.97279883917648646,0,0,0,0
182,0.12608306788064272,0.071588991105641597,0.30334841600000001,0,0,0,0,0.017576043218851114,6.9394104898684919e-05,0.85624313354492188,1,0,0,0,0
183,0.12608306788064272,0.071588991105641597,0.30309993099999999,0,0,0,0,0.017576043218851114,6.9394104898684919e-05,0.85624313354492188,1,0,0,0,0
184,0.12608306788064272,0.071588991105641597,0.30102695299999999,0,0,0,0,0.017576043218851114,6.9394104898684919e-05,0.85624313354492188,1,0,0,0,0
185,0,0,0.30369711700000002,0,0,0,0,0.033822280134755418,0.00028442848457030151,0,0,0,0,0,0
186,0.01692453988410143,0.001123925335950146,0.303761051,0,0,0,0,0.033822280134755418,0.00028442848457030151,0.099015042046594087,0.0018951229601319186,0,0,0,0
