config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE,s4_MAPE,s4_NMSE,s5_MAPE,s5_NMSE
1671,0.017156720315717553,0.00030321718498208325,0.61074783200000005,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0,0,0,0,0.018436560699085457,6.6669330534709393e-05
1672,0.017156720315717553,0.00030321718498208325,0.58662822199999998,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0,0,0,0,0.12482140519422169,0.0043929082768954294
1673,0.042420046073257181,0.0063217118088746182,0.30414575599999999,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0,0,0.077646384166351154,0.00048192924222406397,0.23835386535479269,0.017767155452867944
1674,0.031257272016284782,0.00049868119940373848,0.44271242900000002,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0,0,0.13810176934126006,0.002002016474771101,0.0020897457832725727,7.133946667246938e-07
1675,0.041576910508631923,0.0010944783185180271,0.30642896800000002,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0,0,0.23639565188982414,0.008090160902531382,0,0
1676,0.017499021653187761,0.00031764954075853808,0.39237383399999998,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.0025776564298912751,7.178637923836913e-07,0,0,0,0
1677,0.018100991760950313,0.00031800147790407243,0.41118573200000003,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.0025776564298912751,7.178637923836913e-07,0.0072555615269624344,3.1365272899216516e-06,0.0094673376615136643,1.5803755559712259e-05
1678,0.01818356839020174,0.00034911746146352562,0.36226507000000002,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.0070568641369427197,5.0167964149023017e-06,0,0,0.018436560699085457,6.6669330534709393e-05
1679,0.018697550854725856,0.00034963915594544835,0.30490484899999998,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.0070568641369427197,5.0167964149023017e-06,0.0072555615269624344,3.1365272899216516e-06,0.0046713869740736399,3.5621158608966306e-06
1680,0.019704881484091216,0.0003517574541696753,0.30321436000000002,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.0070568641369427197,5.0167964149023017e-06,0.019542957487582578,2.1920897010672351e-05,0.0094673376615136643,1.5803755559712259e-05
1681,0.019704881484091216,0.0003517574541696753,0.39312203800000001,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.0070568641369427197,5.0167964149023017e-06,0.019542957487582578,2.1920897010672351e-05,0.12482140519422169,0.0043929082768954294
1682,0.03695650071377049,0.006262872845656302,0.30663239599999997,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.0070568641369427197,5.0167964149023017e-06,0.019542957487582578,2.1920897010672351e-05,0.23835386535479269,0.017767155452867944
1683,0.048925380344583082,0.0064630922971970249,0.35946147899999997,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.0070568641369427197,5.0167964149023017e-06,0.13810176934126006,0.002002016474771101,0.23835386535479269,0.017767155452867944
1684,0.04200220888251853,0.0011578889590815259,0.33474694500000002,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.0070568641369427197,5.0167964149023017e-06,0.23639565188982414,0.008090160902531382,0.00073691275757772434,1.017642263681214e-07
1685,0.042469732975805766,0.0012436606924694483,0.307542702,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.014981183407215215,2.5095647377126372e-05,0.23639565188982414,0.008090160902531382,0.12482140519422169,0.0043929082768954294
1686,0.022121122577020064,0.0005634691446038168,0.37939876700000003,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.029349513899250026,0.00011093713019455803,0,0,0.0046713869740736399,3.5621158608966306e-06
1687,0.043289234417485993,0.0014116152199675509,0.30376562099999999,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.029349513899250026,0.00011093713019455803,0.23639565188982414,0.008090160902531382,0,0
1688,0.043289234417485993,0.0014116152199675509,0.41706042700000001,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.029349513899250026,0.00011093713019455803,0.23639565188982414,0.008090160902531382,0.035299224261615122,0.00027203686528506433
