config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE
67,10.855592220056923,25.135875882169959,0.013323564,0,0,43.422368880227694,113.78263843770331,0,0,0,0
68,21.71213444011385,105.64405322602796,0.013418588,0,0,86.8485377604554,478.21922608383392,0,0,0,0
69,43.425218880227696,433.44004633874101,0.013647022,0,0,173.70087552091078,1962.0542490013586,0,0,0,0
70,0.25,0.220911346645666,0.013853102000000001,0,0,1,1,0,0,0,0
71,2.5444348412123719e-09,1.5044552082802498e-18,0.013661899999999999,0,0,0,0,1.0177739364849487e-08,6.1819868881659968e-18,0,0
72,3.0838034609831011e-08,1.0578622882409618e-17,0.013532509,0,0,0,0,1.2335213843932404e-07,4.3468830174521832e-17,0,0
73,4.2642600775558744e-08,5.3139303450321851e-17,0.013481019,0,0,0,0,1.7057040310223498e-07,2.1835577115764133e-16,0,0
74,1.7124865997627422e-07,2.3466108644132268e-16,0.013471489999999999,0,0,0,0,6.8499463990509688e-07,9.6425054834388508e-16,0,0
75,2.3267522174273618e-07,9.7381425126590419e-16,0.013528952,0,0,0,0,9.3070088697094474e-07,4.0015195531920299e-15,0,0
76,7.5066423122441727e-07,3.9765615354145943e-15,0.013615380999999999,0,0,0,0,3.0026569248976691e-06,1.6340168279266537e-14,0,0
77,8.9898195720476955e-07,1.6239609817693269e-14,0.013597786000000001,0,0,0,0,3.5959278288190782e-06,6.6730504443978359e-14,0,0
78,1.4199593093182337e-06,6.4803056458805533e-14,0.01358465,0,0,0,0,5.6798372372729349e-06,2.6628353116564885e-13,0,0
79,2.3465672679067103e-06,2.6066903776021625e-13,0.01365129,0,0,0,0,9.3862690716268412e-06,1.0711203395856254e-12,0,0
80,3.7309999479181357e-06,1.0405996002442915e-12,0.013640128,0,0,0,0,1.4923999791672543e-05,4.275948562067562e-12,0,0
81,7.9240831127205047e-06,4.1698443749293819e-12,0.013641621,0,0,0,0,3.1696332450882019e-05,1.7134390648275296e-11,0,0
82,3.8869670316719147e-05,1.6665334922309201e-11,0.013708942,0,0,0,0,0.00015547868126687659,6.8479859958329124e-11,0,0
83,4.748405117415686e-05,6.7019511188262211e-11,0.013749201000000001,0,0,0,0,0.00018993620469662744,2.7539120948023132e-10,0,0
84,7.109517773207283e-05,2.662425738297348e-10,0.013695356000000001,0,0,0,0,0.00028438071092829132,1.0940226677592041e-09,0,0
85,0.00012648768427360582,1.0645682536676575e-09,0.015350421,0,0,0,0,0.00050595073709442328,4.3744386336726988e-09,0,0
86,0.00021570839686601588,4.3801521389891216e-09,0.016813172000000001,0,0,0,0,0.00086283358746406353,1.7998570474129329e-08,0,0
87,0.00034192249468512417,1.7347544516132698e-08,0.015764034,0,0,0,0,0.0013676899787404967,7.1283141000387424e-08,0,0
